"","BRCA1P1"
"TCGA-3C-AALI-01A",-0.323506929154663
"TCGA-3C-AALJ-01A",0.547466334590262
"TCGA-3C-AALK-01A",-0.560524246711156
"TCGA-5T-A9QA-01A",0.889298865251541
"TCGA-A1-A0SJ-01A",-0.614955265426597
"TCGA-A2-A04P-01A",-1.29171816507237
"TCGA-A2-A04R-01A",0.0600951244766356
"TCGA-A2-A0CL-01A",0.989668516956641
"TCGA-A2-A0CM-01A",0.594662801517755
"TCGA-A2-A0CQ-01A",0.86654415242878
"TCGA-A2-A0D0-01A",-0.895870883565076
"TCGA-A2-A0D4-01A",0.0907020496407405
"TCGA-A2-A0EQ-01A",0.546454596896762
"TCGA-A2-A0YF-01A",0.321049192437788
"TCGA-A2-A259-01A",0.694736178064589
"TCGA-A2-A25B-01A",0.205590619507113
"TCGA-A2-A25E-01A",0.982127314474131
"TCGA-A2-A3KC-01A",0.664175653807649
"TCGA-A2-A3XS-01A",-0.18325705939801
"TCGA-A2-A3XT-01A",-0.247930926725144
"TCGA-A2-A3XU-01A",-1.29171816507237
"TCGA-A2-A3XV-01A",-1.29171816507237
"TCGA-A2-A3XW-01A",-1.29171816507237
"TCGA-A2-A3XX-01A",-0.172047452867654
"TCGA-A2-A3XY-01A",-0.557444525443092
"TCGA-A2-A3XZ-01A",-0.143729625078186
"TCGA-A2-A3Y0-01A",-0.956198557376431
"TCGA-A2-A4RX-01A",0.876660876816646
"TCGA-A2-A4S3-01A",1.17181011362594
"TCGA-A7-A13D-01A",-0.546461280990863
"TCGA-A7-A13D-01B",4.51628346209059
"TCGA-A7-A26G-01A",-0.266115137990135
"TCGA-A7-A2KD-01A",1.90280020193723
"TCGA-A7-A4SD-01A",0.226991665200068
"TCGA-A7-A4SE-01A",0.383589666635471
"TCGA-A7-A4SF-01A",-0.2491792448209
"TCGA-A7-A56D-01A",-1.29171816507237
"TCGA-A7-A5ZV-01A",-1.29171816507237
"TCGA-A7-A5ZW-01A",-1.29171816507237
"TCGA-A7-A6VV-01A",-0.923306547065301
"TCGA-A7-A6VW-01A",-0.522454491586503
"TCGA-A7-A6VX-01A",1.15725872076269
"TCGA-A7-A6VY-01A",-1.29171816507237
"TCGA-AC-A2BK-01A",0.0973486905102998
"TCGA-AC-A2BM-01A",1.20066592237909
"TCGA-AC-A3BB-01A",0.294774205948766
"TCGA-AC-A3W5-01A",-0.305606555153099
"TCGA-AC-A5EH-01A",-0.876291863260631
"TCGA-AC-A5XU-01A",1.05090859074984
"TCGA-AC-A62X-01A",-0.863887431658965
"TCGA-AC-A6IW-01A",0.261432119438522
"TCGA-AC-A6NO-01A",1.04587826487698
"TCGA-AC-A7VB-01A",0.94921246601762
"TCGA-AC-A8OP-01A",1.04248271149727
"TCGA-AC-A8OQ-01A",2.36275089203271
"TCGA-AO-A03O-01A",-0.148648896574922
"TCGA-AO-A03P-01A",0.237479621036189
"TCGA-AO-A0J4-01A",-0.102151370064992
"TCGA-AO-A0JA-01A",0.0643109241841292
"TCGA-AO-A0JE-01A",0.631810230891206
"TCGA-AO-A125-01A",1.0709946060177
"TCGA-AO-A12H-01A",-0.47712896254347
"TCGA-AQ-A54N-01A",-1.29171816507237
"TCGA-AR-A0TT-01A",0.503242976504347
"TCGA-B6-A0I1-01A",0.109457790230959
"TCGA-B6-A0I6-01A",-0.461175295843779
"TCGA-B6-A0IE-01A",-0.686037734445149
"TCGA-B6-A0IJ-01A",-0.749430807014324
"TCGA-B6-A0IM-01A",-0.565338950697879
"TCGA-B6-A0RE-01A",-0.0393615988016217
"TCGA-B6-A0RH-01A",-0.714910876382341
"TCGA-B6-A0RL-01A",2.31308695549493
"TCGA-B6-A0RM-01A",0.0873263671808684
"TCGA-B6-A0WS-01A",-0.924208127144853
"TCGA-B6-A0WW-01A",0.783835115043502
"TCGA-B6-A0WX-01A",1.0015018870144
"TCGA-B6-A0WZ-01A",-1.29171816507237
"TCGA-B6-A0X5-01A",0.830776767507535
"TCGA-B6-A3ZX-01A",0.571449172315582
"TCGA-B6-A400-01A",1.11690933294104
"TCGA-B6-A401-01A",0.905737963173535
"TCGA-B6-A402-01A",1.36854853411032
"TCGA-B6-A408-01A",0.87632267011779
"TCGA-B6-A409-01A",-1.29171816507237
"TCGA-BH-A0AV-01A",-0.259615033942184
"TCGA-BH-A0B0-01A",-1.29171816507237
"TCGA-BH-A0BW-01A",1.39385510823825
"TCGA-BH-A0BW-11A",2.39697706268267
"TCGA-BH-A0DG-01A",-0.262442896254597
"TCGA-BH-A0DG-11A",1.9357964891192
"TCGA-BH-A0E2-01A",-1.29171816507237
"TCGA-BH-A1FC-01A",-0.955434006961421
"TCGA-BH-A1FC-11A",0.398714715809426
"TCGA-BH-A209-01A",-0.714642680677056
"TCGA-BH-A209-11A",0.3862418796247
"TCGA-BH-A42T-01A",0.306652190682303
"TCGA-BH-A42U-01A",0.149421739941265
"TCGA-BH-A42V-01A",-0.463161939739154
"TCGA-BH-A5IZ-01A",-0.205477194988764
"TCGA-BH-A5J0-01A",-1.29171816507237
"TCGA-BH-A6R8-01A",-0.115938695317561
"TCGA-E2-A14X-01A",-0.433010461514738
"TCGA-E2-A15L-01A",0.151765371653674
"TCGA-E2-A15O-01A",1.72619844737796
"TCGA-E2-A1L8-01A",1.21960746479909
"TCGA-E2-A1LB-01A",-0.871174002834809
"TCGA-E2-A1LB-11A",0.600568038411773
"TCGA-E2-A1LG-01A",0.468799136201388
"TCGA-E2-A1LK-01A",-0.719341770868002
"TCGA-E2-A1LL-01A",-1.29171816507237
"TCGA-E2-A2P5-01A",-0.110720119198681
"TCGA-E2-A56Z-01A",-0.843349869995468
"TCGA-E2-A570-01A",-0.801826121000682
"TCGA-E2-A572-01A",-0.839614227211156
"TCGA-E2-A573-01A",-1.29171816507237
"TCGA-E2-A574-01A",-0.156745143249221
"TCGA-E2-A576-01A",0.0448198564647876
"TCGA-E2-A9RU-01A",-1.29171816507237
"TCGA-EW-A1J2-01A",1.38720901016226
"TCGA-EW-A1OW-01A",0.421893385951495
"TCGA-EW-A1OZ-01A",-0.451738931593705
"TCGA-EW-A1PB-01A",-1.29171816507237
"TCGA-EW-A1PC-01B",0.315778290444116
"TCGA-EW-A2FR-01A",-0.366039834332704
"TCGA-EW-A2FS-01A",1.3442868874382
"TCGA-EW-A3U0-01A",0.196633379041182
"TCGA-EW-A6S9-01A",0.457574078478934
"TCGA-EW-A6SB-01A",-1.29171816507237
"TCGA-EW-A6SC-01A",-1.29171816507237
"TCGA-EW-A6SD-01A",-0.888338438656311
"TCGA-GI-A2C9-01A",0.497431535849144
"TCGA-GI-A2C9-11A",0.444854398553691
"TCGA-GM-A2DF-01A",-0.485513117926519
"TCGA-GM-A2DO-01A",-0.397131936702278
"TCGA-GM-A3XL-01A",0.211996692288718
"TCGA-LD-A7W5-01A",0.0195547221459074
"TCGA-LD-A9QF-01A",-0.177643701500226
"TCGA-LL-A441-01A",1.92458746244862
"TCGA-LL-A442-01A",0.728282732768482
"TCGA-LL-A5YM-01A",-0.832451591166793
"TCGA-LL-A5YN-01A",-0.41151300316053
"TCGA-LL-A5YO-01A",-1.29171816507237
"TCGA-LL-A5YP-01A",-0.463629697921447
"TCGA-LL-A6FQ-01A",-1.29171816507237
"TCGA-LL-A6FR-01A",-1.29171816507237
"TCGA-LL-A73Y-01A",0.547129150633404
"TCGA-LL-A73Z-01A",0.11245126348419
"TCGA-LL-A740-01A",-0.563238681147667
"TCGA-LL-A7SZ-01A",-1.29171816507237
"TCGA-LL-A7T0-01A",-0.806331120151099
"TCGA-LL-A8F5-01A",-1.29171816507237
"TCGA-OL-A5D6-01A",-1.29171816507237
"TCGA-OL-A5D7-01A",-1.29171816507237
"TCGA-OL-A5D8-01A",-0.205070782991063
"TCGA-OL-A5RU-01A",0.751176567069245
"TCGA-OL-A5RV-01A",1.32328344186693
"TCGA-OL-A5RW-01A",-1.29171816507237
"TCGA-OL-A5RX-01A",0.73346945459403
"TCGA-OL-A5RY-01A",-1.29171816507237
"TCGA-OL-A5RZ-01A",-1.29171816507237
"TCGA-OL-A5S0-01A",-1.29171816507237
"TCGA-OL-A66H-01A",-0.201822721474885
"TCGA-OL-A66I-01A",0.262062393736105
"TCGA-OL-A66L-01A",-1.29171816507237
"TCGA-OL-A66O-01A",0.061062100571869
"TCGA-OL-A66P-01A",-1.29171816507237
"TCGA-OL-A6VO-01A",-0.328606970043251
"TCGA-OL-A6VR-01A",0.176937294629481
"TCGA-OL-A97C-01A",2.16076020280059
"TCGA-PL-A8LV-01A",0.573777139909199
"TCGA-PL-A8LX-01A",0.806870584540636
"TCGA-PL-A8LY-01A",-0.756962139402176
"TCGA-PL-A8LZ-01A",-0.143434887491051
"TCGA-S3-A6ZF-01A",0.831874427754729
"TCGA-S3-A6ZG-01A",1.26304374979526
"TCGA-S3-A6ZH-01A",0.758223895725414
"TCGA-S3-AA0Z-01A",1.72793639235546
"TCGA-S3-AA10-01A",0.054547156462845
"TCGA-S3-AA11-01A",1.3283585642906
"TCGA-S3-AA12-01A",0.949266644090334
"TCGA-S3-AA14-01A",1.22334443814452
"TCGA-S3-AA15-01A",0.689313885959482
"TCGA-S3-AA17-01A",1.80934474545972
"TCGA-UL-AAZ6-01A",-0.618387525260041
"TCGA-UU-A93S-01A",-1.29171816507237
"TCGA-V7-A7HQ-01A",-1.29171816507237
"TCGA-WT-AB41-01A",-0.602298788791419
